message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=9,426291, y=11,113422])";"30";"turtlesim3.sim";"1696262654.746290644";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,426291, y=11,113422])";"30";"turtlesim2.sim";"1696262654.737489554";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,426291, y=11,113422])";"30";"turtlesim1.sim";"1696262654.731838557";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,405746, y=11,113422])";"30";"turtlesim3.sim";"1696262654.730381833";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,405746, y=11,113422])";"30";"turtlesim2.sim";"1696262654.722115697";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,405746, y=11,113422])";"30";"turtlesim1.sim";"1696262654.716230801";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,385200, y=11,113422])";"30";"turtlesim3.sim";"1696262654.714468113";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,385200, y=11,113422])";"30";"turtlesim2.sim";"1696262654.705444595";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,385200, y=11,113422])";"30";"turtlesim1.sim";"1696262654.700338270";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,364655, y=11,113422])";"30";"turtlesim3.sim";"1696262654.699063969";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,364655, y=11,113422])";"30";"turtlesim2.sim";"1696262654.689977072";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,364655, y=11,113422])";"30";"turtlesim1.sim";"1696262654.683892581";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,344109, y=11,113422])";"30";"turtlesim3.sim";"1696262654.683017579";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,344109, y=11,113422])";"30";"turtlesim2.sim";"1696262654.673485587";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,344109, y=11,113422])";"30";"turtlesim1.sim";"1696262654.668185108";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,323563, y=11,113422])";"30";"turtlesim3.sim";"1696262654.666778978";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,323563, y=11,113422])";"30";"turtlesim2.sim";"1696262654.657610208";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,323563, y=11,113422])";"30";"turtlesim1.sim";"1696262654.652231873";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,303018, y=11,113422])";"30";"turtlesim3.sim";"1696262654.650809163";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,303018, y=11,113422])";"30";"turtlesim2.sim";"1696262654.641609124";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,303018, y=11,113422])";"30";"turtlesim1.sim";"1696262654.636169013";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,282472, y=11,113422])";"30";"turtlesim3.sim";"1696262654.634967528";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,282472, y=11,113422])";"30";"turtlesim2.sim";"1696262654.625636953";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,282472, y=11,113422])";"30";"turtlesim1.sim";"1696262654.620069223";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,261927, y=11,113422])";"30";"turtlesim3.sim";"1696262654.619148254";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,261927, y=11,113422])";"30";"turtlesim2.sim";"1696262654.609719266";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,261927, y=11,113422])";"30";"turtlesim1.sim";"1696262654.603980935";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,241381, y=11,113422])";"30";"turtlesim3.sim";"1696262654.602296012";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,241381, y=11,113422])";"30";"turtlesim2.sim";"1696262654.593709855";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,241381, y=11,113422])";"30";"turtlesim1.sim";"1696262654.587990590";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,220836, y=11,113422])";"30";"turtlesim3.sim";"1696262654.586434810";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,220836, y=11,113422])";"30";"turtlesim2.sim";"1696262654.577714001";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,220836, y=11,113422])";"30";"turtlesim1.sim";"1696262654.572021786";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,200290, y=11,113422])";"30";"turtlesim3.sim";"1696262654.570600759";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,200290, y=11,113422])";"30";"turtlesim2.sim";"1696262654.561668523";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,200290, y=11,113422])";"30";"turtlesim1.sim";"1696262654.555891730";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,179745, y=11,113422])";"30";"turtlesim3.sim";"1696262654.554823274";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,179745, y=11,113422])";"30";"turtlesim2.sim";"1696262654.545453056";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,179745, y=11,113422])";"30";"turtlesim1.sim";"1696262654.539635306";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,159199, y=11,113422])";"30";"turtlesim3.sim";"1696262654.538973944";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,159199, y=11,113422])";"30";"turtlesim2.sim";"1696262654.529425081";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,159199, y=11,113422])";"30";"turtlesim1.sim";"1696262654.523655842";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,138654, y=11,113422])";"30";"turtlesim3.sim";"1696262654.522160545";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,138654, y=11,113422])";"30";"turtlesim2.sim";"1696262654.513409730";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,138654, y=11,113422])";"30";"turtlesim1.sim";"1696262654.507614853";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,118108, y=11,113422])";"30";"turtlesim3.sim";"1696262654.506340501";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=9,118108, y=11,113422])";"30";"turtlesim2.sim";"1696262654.497700643";"/home/ilyusha/ros2_ws/src/ros_tutorials/turtlesim/src/turtle.cpp:update:260"
